feature,std,iqr,std_rank,iqr_rank,pca_loading,pca_rank,total_rank,fold
OBV_lag_5,0.9588619614765709,1.6559108057010214,6.0,1.0,0.10967490186267426,32.0,13.0,val_scaled_fold_482.csv
RSI_7_lag_5,0.9407050192788545,1.5184426471765453,8.0,6.0,0.14837706383201338,25.0,13.0,val_scaled_fold_482.csv
TEMA_12,0.45709878544102794,0.6685666913042617,18.0,22.0,0.20684134595274306,1.0,13.666666666666666,val_scaled_fold_482.csv
OBV_lag_3,0.9459431472787275,1.4954678155580157,7.0,8.0,0.13643935527801254,28.0,14.333333333333334,val_scaled_fold_482.csv
Log_Returns_lag_5,1.194940492850651,1.5747692211021473,3.0,2.0,0.04259222014801508,38.0,14.333333333333334,val_scaled_fold_482.csv
OBV_lag_1,0.2950172303631303,0.5311385728652043,21.0,12.0,0.16558923645366805,2.0,11.666666666666666,val_scaled_fold_496.csv
TEMA_12,0.3020679804096102,0.5392641842053861,18.0,10.0,0.1652796028095017,7.0,11.666666666666666,val_scaled_fold_496.csv
RSI_14_lag_5,0.5247142150518924,0.9675521926564864,5.0,1.0,0.15316104671753092,29.0,11.666666666666666,val_scaled_fold_496.csv
BB_Lower_10_2Std,0.32093822976834535,0.5890248195124502,15.0,5.0,0.16451472935780115,15.0,11.666666666666666,val_scaled_fold_496.csv
RSI_7_lag_5,0.7759014153273934,0.8435332367579466,1.0,2.0,0.1399689257690428,33.0,12.0,val_scaled_fold_496.csv
RSI_14_lag_1,0.7728873606556002,1.123082733870934,9.0,7.0,0.20509623157994272,9.0,8.333333333333334,val_scaled_fold_327.csv
RSI_7_lag_1,0.9116035647086622,1.3125520434764397,3.0,4.0,0.19071422913393196,19.0,8.666666666666666,val_scaled_fold_327.csv
RSI_7_lag_3,0.9290340913607908,1.336462836499503,2.0,2.0,0.15405626021451416,22.0,8.666666666666666,val_scaled_fold_327.csv
RSI_7,0.9096981191112755,1.3134202720260646,4.0,3.0,0.17357380932500635,20.0,9.0,val_scaled_fold_327.csv
RSI_14_lag_3,0.7744255203696316,1.12573093304247,8.0,6.0,0.1606458302983647,21.0,11.666666666666666,val_scaled_fold_327.csv
TEMA_12,0.7789349979054868,1.0663796762338449,16.0,7.0,0.2027603261359638,1.0,8.0,val_scaled_fold_441.csv
Close,0.8119312944258429,0.98508214804152,12.0,11.0,0.19508273874617077,6.0,9.666666666666666,val_scaled_fold_441.csv
High,0.7581010447366673,1.0354668548405321,17.0,10.0,0.19266508675883687,9.0,12.0,val_scaled_fold_441.csv
Close_lag_1,0.7849181372565165,0.9814383620986279,14.0,12.0,0.19247806368177223,10.0,12.0,val_scaled_fold_441.csv
Log_Returns_lag_5,1.4624493526035993,1.5119100045713874,4.0,1.0,0.06479155405293581,37.0,14.0,val_scaled_fold_441.csv
RSI_7_lag_1,0.8175211570951982,0.9564169025584721,1.0,1.0,0.14597934562012885,24.0,8.666666666666666,val_scaled_fold_455.csv
RSI_7,0.8051280941362479,0.9346349752852497,3.0,2.0,0.14012035705760698,25.0,10.0,val_scaled_fold_455.csv
RSI_7_lag_3,0.8077981728435777,0.8738367422380612,2.0,3.0,0.13735939704221228,27.0,10.666666666666666,val_scaled_fold_455.csv
RSI_7_lag_5,0.7856586987235697,0.873482142992604,4.0,4.0,0.09635965170670091,30.0,12.666666666666666,val_scaled_fold_455.csv
Close,0.3445209332819112,0.2162576607468647,15.0,20.0,0.19941898005681163,5.0,13.333333333333334,val_scaled_fold_455.csv
RSI_14_lag_3,1.0636900550426625,1.746087418431041,4.0,2.0,0.18126305680690755,17.0,7.666666666666667,val_scaled_fold_333.csv
RSI_14_lag_1,1.0438117523852182,1.6526424334793062,6.0,3.0,0.178567179902096,18.0,9.0,val_scaled_fold_333.csv
