PC,explained_variance_ratio,cumulative_variance
1,0.6172075879951001,0.6172075879951001
2,0.15352114003837924,0.7707287280334794
3,0.08900411796697942,0.8597328460004587
4,0.0441511325664193,0.9038839785668781
5,0.03599455109635197,0.93987852966323
6,0.0254538342097308,0.9653323638729608
7,0.012333778702338273,0.9776661425752992
8,0.010403294754844233,0.9880694373301434
9,0.004357269605115086,0.9924267069352585
10,0.0029971295540179993,0.9954238364892765
11,0.0025935760957962635,0.9980174125850727
12,0.0009864260943623362,0.9990038386794351
13,0.0002957471264136421,0.9992995858058488
14,0.00018220577108349264,0.9994817915769323
15,0.0001290543306544951,0.9996108459075868
16,0.00011860888336675468,0.9997294547909535
17,7.213548172782767e-05,0.9998015902726813
18,4.745933394150819e-05,0.9998490496066228
19,4.146524889306628e-05,0.9998905148555158
20,3.978481900018253e-05,0.999930299674516
21,2.1670005295849128e-05,0.9999519696798118
22,1.104292799613087e-05,0.999963012607808
23,8.654336123486023e-06,0.9999716669439315
24,6.373488043649666e-06,0.9999780404319751
25,5.552893946969854e-06,0.9999835933259221
26,4.449470549985775e-06,0.9999880427964721
27,2.9337819769637054e-06,0.999990976578449
28,2.434843384512847e-06,0.9999934114218335
29,2.3526993146341136e-06,0.9999957641211481
30,1.6863746984196997e-06,0.9999974504958465
31,7.727271921322148e-07,0.9999982232230387
32,7.131992386443357e-07,0.9999989364222773
33,5.565437740035553e-07,0.9999994929660513
34,3.8700059851920717e-07,0.9999998799666499
35,5.521130867844477e-08,0.9999999351779585
36,3.485142164475813e-08,0.9999999700293801
37,2.5297672565332186e-08,0.9999999953270526
38,4.672946962549327e-09,0.9999999999999996
39,4.871546148522063e-17,0.9999999999999996
40,4.233163815776752e-17,0.9999999999999996
41,6.368768338779946e-18,0.9999999999999996
42,0.0,0.9999999999999996
43,0.0,0.9999999999999996
44,0.0,0.9999999999999996
