fold_id,retrain_interval,window,units,learning_rate,epochs,threshold,sharpe,mdd,turnover
3,10,20,33,0.000976,30,0.6,5.11,0.0143,10.0
35,10,20,36,0.000166,20,0.676,7.13,0.0013,14.0
159,10,20,40,0.001,30,0.499,7.86,0.0085,13.0
206,10,20,36,0.000665,38,0.7,4.52,0.0149,10.0
216,10,20,36,0.002,20,0.5,5.46,0.018,12.0
246,10,10,38,0.007015,26,0.823,3.4,0.0171,12.0
347,10,20,43,0.001199,30,0.745,5.66,0.0055,14.0
364,10,21,36,0.002031,20,0.5,7.91,0.0015,15.0
400,10,13,36,0.002728,30,0.789,6.34,0.0036,11.0
444,10,20,36,0.001,30,0.49,4.33,0.0095,15.0
553,10,20,40,0.000723,15,0.6,14.56,0.0066,2.0
564,10,20,36,0.000517,30,0.7,4.33,0.0276,9.0
599,10,20,33,0.001005,20,0.699,3.65,0.0268,15.0
652,10,20,36,0.001,20,0.7,4.87,0.0169,16.0
3,20,19,36,0.000535,27,0.708,6.58,0.0048,5.0
35,20,20,36,0.002435,20,0.7,5.17,0.0041,6.0
159,20,21,36,0.0005,24,0.7,6.99,0.0014,12.0
206,20,20,41,0.001001,20,0.709,3.72,0.0145,15.0
216,20,10,119,0.001737,14,0.872,5.98,0.0014,
246,20,20,36,0.001918,20,0.541,6.2,0.0096,10.0
347,20,23,36,0.000999,20,0.537,5.94,0.0039,14.0
364,20,20,35,0.000204,30,0.7,6.81,0.0118,9.0
400,20,20,39,0.000502,30,0.694,5.7,0.0045,9.0
444,20,20,36,0.000984,20,0.601,5.87,0.009,16.0
553,20,19,39,0.001,20,0.603,13.31,0.0043,2.0
564,20,20,36,0.000504,27,0.7,5.4,0.0109,11.0
599,20,10,71,0.000484,16,0.944,5.23,0.0007,10.0
652,20,20,36,0.001,21,0.602,5.96,0.0091,11.0
3,42,21,36,0.001,30,0.492,3.91,0.0132,6.0
35,42,23,36,0.001005,30,0.612,8.08,0.0007,11.0
159,42,20,36,0.002711,20,0.644,7.64,0.0046,14.0
206,42,20,36,0.000989,31,0.7,5.33,0.0131,9.0
216,42,21,36,0.001163,20,0.747,6.25,0.0014,7.0
246,42,20,36,0.001239,20,0.7,7.52,0.0033,10.0
347,42,10,119,0.001737,14,0.872,5.65,0.0007,
364,42,20,36,0.000859,13,0.622,6.05,0.0123,5.0
400,42,19,36,0.000321,30,0.6,6.73,0.0039,11.0
444,42,20,36,0.000357,27,0.782,5.26,0.0018,5.0
553,42,20,48,0.000502,30,0.498,13.11,0.0007,3.0
564,42,20,36,0.001002,20,0.704,5.6,0.0109,9.0
599,42,20,36,0.0005,30,0.505,3.99,0.0236,12.0
652,42,22,36,0.002811,20,0.5,5.54,0.0188,5.0
