fold_id,ticker,champion,rmse,features_used,fixed_neutral,search_space,rmse_rwd
553,NVDA,"{'layers': 2, 'batch_size': 29, 'dropout': 0.2058048055794204}",0.2334979921579361,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.41032590332414487
564,NVDA,"{'layers': 2, 'batch_size': 21, 'dropout': 0.17998771774261663}",0.4493553340435028,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.48576680388340865
159,AMZN,"{'layers': 1, 'batch_size': 17, 'dropout': 0.19035368651231163}",0.4701269865036011,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.5224248171692806
347,META,"{'layers': 1, 'batch_size': 31, 'dropout': 0.1951981984579586}",0.3897814452648163,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.42615796
206,AMZN,"{'layers': 1, 'batch_size': 23, 'dropout': 0.1732890275900272}",0.4220804274082184,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.45448203249792135
364,META,"{'layers': 1, 'batch_size': 22, 'dropout': 0.18935020407164796}",0.4333992898464203,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.47739596091938363
444,MSFT,"{'layers': 1, 'batch_size': 27, 'dropout': 0.18655426818523818}",0.4053919017314911,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.42637960983204165
400,MSFT,"{'layers': 1, 'batch_size': 31, 'dropout': 0.09171598062196497}",0.4512499272823334,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.47307179812146755
35,AAPL,"{'layers': 2, 'batch_size': 25, 'dropout': 0.06346522906873943}",0.407536119,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.44183260334963514
599,TSLA,"{'layers': 1, 'batch_size': 31, 'dropout': 0.044730386207862495}",0.4711935222148895,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.49526925522647536
652,TSLA,"{'layers': 2, 'batch_size': 21, 'dropout': 0.5}",0.4144347608089447,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.4720054190856907
246,GOOGL,"{'layers': 2, 'batch_size': 28, 'dropout': 0.2971061460667621}",0.4704384207725525,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7']","{'window_t1': 25, 'units_t1': 48, 'lr_t1': 0.001, 'epochs': 10, 'patience': 3}","{'layers': [1, 3], 'batch_size': [16, 128], 'dropout': [0.0, 0.5]}",0.4927830120872306
