fold_id,ticker,date_min,date_max,p,q,rmse_arima
35,AAPL,2013-01-03,2014-01-02,5,4,0.0165432452564336
80,AAPL,2016-10-04,2017-10-03,6,4,0.0121439866561012
113,AMZN,2010-11-01,2011-10-28,1,1,0.0259429361216554
206,AMZN,2018-08-06,2019-08-06,7,7,0.0117000767643358
226,GOOGL,2011-08-02,2012-07-31,1,3,0.0115109794896639
259,GOOGL,2014-05-06,2015-05-05,2,1,0.0097480991282826
343,META,2015-01-21,2016-01-20,1,2,0.0266380392867317
347,META,2015-05-21,2016-05-19,6,1,0.0108252390347407
444,MSFT,2014-10-03,2015-10-02,7,5,0.0188166280336069
584,NVDA,2017-10-04,2018-10-03,6,7,0.05324310970257
634,TSLA,2013-09-27,2014-09-26,6,5,0.0253836289588607
