fold_id,retrain_interval,source,window,units,learning_rate,epochs,threshold,val_sharpe_front,val_mdd_front,test_sharpe,test_mdd,test_ann_return,test_ann_vol,test_turnover,test_n_points,,,,,,,,,,,,,,,
3,10,GA_knee,20,33,0.000975767,30,0.6,5.112463419,0.014254475,1.199946154,0.277477072,0.229240543,0.191042358,120,1519,,,,,,,,,,,,,,,
3,10,GA+BO_knee,20,33,0.000975767,30,0.6,5.112463419,0.014254475,1.085290717,0.200611558,0.180285685,0.166117412,137,1519,,,,,,,,,,,,,,,
3,20,GA_knee,20,36,0.001,30,0.696616019,6.947762817,0.013325606,0.754423221,0.146916696,0.09487413,0.125757171,75,1519,,,,,,,,,,,,,,,
3,20,GA+BO_knee,19,36,0.000535353,27,0.707736283,6.575455236,0.004790028,0.546085342,0.250252363,0.056375793,0.103236233,63,1519,,,,,,,,,,,,,,,
3,42,GA_knee,21,36,0.001,19,0.489361608,5.422350183,0.018103213,0.859844272,0.221937664,0.134427355,0.156339187,81,1519,,,,,,,,,,,,,,,
3,42,GA+BO_knee,21,36,0.001,30,0.491725238,3.909953355,0.013214108,0.881331158,0.210708365,0.175035809,0.198603904,66,1519,,,,,,,,,,,,,,,
35,10,GA_knee,20,36,0.000166113,20,0.676049178,7.126297737,0.001328363,0.178227943,0.3928227,0.02995381,0.168064612,149,1519,,,,,,,,,,,,,,,
35,10,GA+BO_knee,20,36,0.000166113,20,0.676049178,7.126297737,0.001328363,0.711454799,0.24162016,0.107957011,0.151741208,137,1519,,,,,,,,,,,,,,,
35,20,GA_knee,20,36,0.001,17,0.7,5.766534604,0.011922982,0.607830359,0.240015898,0.074140244,0.121975223,72,1519,,,,,,,,,,,,,,,
35,20,GA+BO_knee,20,36,0.002434859,20,0.7,5.174696757,0.004140247,0.253129656,0.512913333,0.041444286,0.163727501,50,1519,,,,,,,,,,,,,,,
35,42,GA_knee,23,36,0.001005078,30,0.612037475,8.079056561,0.0007,0.388477568,0.365674965,0.079936961,0.205769824,88,1519,,,,,,,,,,,,,,,
35,42,GA+BO_knee,23,36,0.001005078,30,0.612037475,8.079056561,0.0007,0.261250697,0.231406954,0.036349058,0.13913478,87,1519,,,,,,,,,,,,,,,
159,10,GA_knee,20,40,0.001,30,0.499013451,7.85978221,0.008483051,0.727090557,0.181171265,0.110049244,0.151355623,86,1519,,,,,,,,,,,,,,,
159,10,GA+BO_knee,20,40,0.001,30,0.499013451,7.85978221,0.008483051,0.727090557,0.181171265,0.110049244,0.151355623,86,1519,,,,,,,,,,,,,,,
159,20,GA_knee,21,36,0.0005,24,0.700000509,6.98811369,0.00139951,0.506799282,0.177399665,0.052018471,0.102641169,50,1519,,,,,,,,,,,,,,,
159,20,GA+BO_knee,21,36,0.0005,24,0.700000509,6.98811369,0.00139951,0.092407059,0.166080348,0.010166862,0.110022569,54,1519,,,,,,,,,,,,,,,
159,42,GA_knee,20,36,0.002711246,20,0.644300017,7.6425169,0.004596525,0.951182122,0.209600126,0.130654868,0.137360517,84,1519,,,,,,,,,,,,,,,
159,42,GA+BO_knee,20,36,0.002711246,20,0.644300017,7.6425169,0.004596525,0.26356879,0.096047559,0.018156989,0.068888996,22,1519,,,,,,,,,,,,,,,
206,10,GA_knee,20,36,0.00066544,38,0.7,4.522233452,0.014946084,0.331248706,0.195091341,0.03912306,0.118107814,98,1519,,,,,,,,,,,,,,,
206,10,GA+BO_knee,20,36,0.00066544,38,0.7,4.522233452,0.014946084,0.14092339,0.228519572,0.021449687,0.152208143,90,1519,,,,,,,,,,,,,,,
206,20,GA_knee,20,41,0.001001301,20,0.709137647,3.720495736,0.014467553,0.99653268,0.111266549,0.100353501,0.100702669,45,1519,,,,,,,,,,,,,,,
206,20,GA+BO_knee,20,41,0.001001301,20,0.709137647,3.720495736,0.014467553,0.145449086,0.241102558,0.015702899,0.107961485,36,1519,,,,,,,,,,,,,,,
206,42,GA_knee,20,36,0.000989106,31,0.7,5.332973756,0.013086357,0.789287611,0.125134406,0.074735559,0.094687358,41,1519,,,,,,,,,,,,,,,
206,42,GA+BO_knee,20,36,0.000989106,31,0.7,5.332973756,0.013086357,-0.239684836,0.477427567,-0.03250455,0.135613711,42,1519,,,,,,,,,,,,,,,
216,10,GA_knee,20,36,0.002,20,0.5,5.463703805,0.017988294,0.540840952,0.334779825,0.081381397,0.150471957,106,1519,,,,,,,,,,,,,,,
