stage,fold_id,gen,p,q,rmse,is_best_gen
GA,35,1,3,6,0.0167589520194561,False
GA,35,1,5,4,0.0165432452564336,True
GA,35,1,1,1,0.0166920631601144,False
GA,35,1,1,6,0.0167803732567878,False
GA,35,1,4,5,0.0165721028248721,False
GA,35,1,1,6,0.0167803732567878,False
GA,35,1,5,2,0.0166924170740233,False
GA,35,1,2,2,0.0166712967926086,False
GA,35,1,2,4,0.0166655909330578,False
GA,35,1,3,2,0.0166344841203351,False
GA,35,1,4,1,0.0166827968399921,False
GA,35,1,2,3,0.0167170116927453,False
GA,35,1,3,5,0.0166375956633177,False
GA,35,1,2,4,0.0166655909330578,False
GA,35,1,4,1,0.0166827968399921,False
GA,35,1,4,2,0.0167411678476992,False
GA,35,1,1,6,0.0167803732567878,False
GA,35,1,6,5,0.016581179768642,False
GA,35,1,2,1,0.0166871219934533,False
GA,35,1,5,3,0.0167215946072788,False
GA,35,1,1,3,0.0166832123251119,False
GA,35,1,1,6,0.0167803732567878,False
GA,35,1,2,4,0.0166655909330578,False
GA,35,1,2,4,0.0166655909330578,False
GA,35,1,4,2,0.0167411678476992,False
GA,35,1,6,5,0.016581179768642,False
GA,35,1,6,6,0.0167206587560009,False
GA,35,1,4,6,0.0167896675684162,False
GA,35,1,1,2,0.0166875133067482,False
GA,35,1,1,2,0.0166875133067482,False
GA,35,1,3,2,0.0166344841203351,False
GA,35,1,5,3,0.0167215946072788,False
GA,35,1,2,4,0.0166655909330578,False
GA,35,1,1,5,0.0167516031490293,False
GA,35,1,1,6,0.0167803732567878,False
GA,35,1,5,2,0.0166924170740233,False
GA,35,1,1,5,0.0167516031490293,False
GA,35,1,5,5,0.0165870753847326,False
GA,35,1,5,1,0.0167006593322681,False
GA,35,1,3,1,0.0166648299115127,False
GA,35,2,5,4,0.0165432452564336,True
GA,35,2,4,5,0.0165721028248721,False
GA,35,2,4,5,0.0165721028248721,False
GA,35,2,6,5,0.016581179768642,False
GA,35,2,6,5,0.016581179768642,False
GA,35,2,6,5,0.016581179768642,False
GA,35,2,6,5,0.016581179768642,False
GA,35,2,5,5,0.0165870753847326,False
GA,35,2,5,5,0.0165870753847326,False
GA,35,2,6,4,0.0166186801429329,False
GA,35,2,3,2,0.0166344841203351,False
GA,35,2,3,2,0.0166344841203351,False
GA,35,2,3,5,0.0166375956633177,False
GA,35,2,3,5,0.0166375956633177,False
GA,35,2,3,5,0.0166375956633177,False
GA,35,2,3,5,0.0166375956633177,False
