fold_id,retrain_interval,p,q,threshold,sharpe,mdd,pick,garch_mode,garch_ic,dist,dist_last,aic_norm,aic_t
347,10,4,1,0.5999999807303626,1.9654252581020513,0.010339217095129343,knee_union,auto,aic,t,t,2353.0845725218564,2297.2018422043575
347,20,6,1,0.5999941782388035,1.5356216109141683,0.010240395001779746,knee_union,auto,aic,t,t,2317.8806201884668,2262.1479234366398
347,42,7,2,0.5999948379492357,2.175481748815776,0.009065265120813062,knee_union,auto,aic,t,t,2241.8476261281776,2189.5984356979325
343,10,1,1,0.5999898047312269,6.4325927224122985,0.006981511610884867,knee_union,auto,aic,t,t,2354.5557630208664,2324.22648064807
343,20,4,3,0.599995672893777,4.720252845601739,0.010438029950023462,knee_union,auto,aic,t,t,2354.2228632481615,2328.0420251152514
343,42,2,2,0.5999978695741284,4.3616972848836895,0.010283387207591737,knee_union,auto,aic,t,t,2154.642255083025,2131.9952333907013
259,10,6,6,0.5960760453680224,1.1022947483890164,0.020003813129401974,knee_union,auto,aic,t,t,2049.738178268742,2048.7173565283233
259,20,2,1,0.17494821647006464,0.5606648143545018,0.012142782753558963,knee_union,auto,aic,normal,normal,2065.328503515138,2066.1948584149354
259,42,2,1,0.5999882947877365,2.0079792600662785,0.0008658782160637202,knee_union,auto,aic,normal,normal,1912.9924026640344,1913.8745944736547
80,10,5,6,0.5999509603490073,4.215417347724584,0.004895989763337822,knee_union,auto,aic,t,t,2091.2593656822837,2018.1934898931654
80,20,5,2,0.5999725546194996,3.278865694638616,0.0029020638475104653,knee_union,auto,aic,t,t,2097.777015592583,2018.6012214081595
80,42,6,2,0.5999993303692556,2.2149283272318643,0.0018979346471973849,knee_union,auto,aic,t,t,1938.4487409126177,1861.8795596905102
35,10,4,5,0.010064651283547941,3.922599298130168,0.030589007607568854,knee_union,auto,aic,t,t,2272.5629036063774,2234.6005907396125
35,20,4,3,0.5999569251860853,3.62281875954108,0.004565997886856261,knee_union,auto,aic,t,t,2281.682863309538,2237.6782185681436
35,42,5,4,0.5999704845262532,4.21534125484461,0.002342383242188989,knee_union,auto,aic,t,t,2100.7351270247273,2072.6709268970044
634,10,5,2,0.5999983097622883,4.423317058793315,0.011282248447675844,knee_union,auto,aic,t,t,2651.2691000603,2614.535979419501
634,20,5,5,0.5999970760759517,4.98444315198841,0.019302606921635785,knee_union,auto,aic,t,t,2646.936525141475,2613.529650354434
634,42,6,2,0.5999999999887264,2.292436920793931,0.008025111249975906,knee_union,auto,aic,t,t,2459.365020012703,2428.0613748942596
444,10,2,1,0.06566221700908162,3.0226414021784147,0.01800300373082911,knee_union,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,20,6,2,0.5999985001319773,2.3743751129686927,0.004342514622182131,knee_union,auto,aic,t,t,2264.517253572041,2176.1637098212454
444,42,7,5,0.5999987820360363,2.497402685011374,0.002529755667149668,knee_union,auto,aic,t,t,2072.2758249057806,2015.6911964854357
206,10,4,4,0.013083944249426698,4.817348505107041,0.029447775232699036,knee_union,auto,aic,normal,t,2347.118660306077,2347.403837349236
206,20,6,3,0.5999994653541059,6.251794982178222,0.0009211234730366028,knee_union,auto,aic,normal,normal,2351.7339863252987,2353.0746175360955
206,42,4,3,0.5999999999916239,3.999609465289241,0.0005531714214557031,knee_union,auto,aic,normal,normal,2192.737475819348,2193.9677522925795
226,10,2,2,0.5999999997141324,3.8419644176417944,0.003005790312170006,knee_union,auto,aic,t,t,2258.4737497996025,2234.789744398025
226,20,3,1,0.5999991474396146,6.299138267232451,0.001323037306261521,knee_union,auto,aic,t,t,2258.849798513154,2235.3453916890135
226,42,1,3,0.5999999956935365,7.620894323018898,0.0006078945561739922,knee_union,auto,aic,t,t,2104.9140468991204,2080.8842013538433
113,10,7,7,0.5999949402061271,1.166853949038592,0.038461288879524706,knee_union,auto,aic,t,t,2404.0977052301705,2372.6797229244316
113,20,2,2,0.5988844703823973,-2.285125097539419,0.024866619376830768,knee_union,auto,aic,t,t,2412.659561894536,2373.1484074495706
113,42,2,2,0.5998101206543118,-1.927198531282831,0.02202100554121769,knee_union,auto,aic,t,t,2224.3325574739465,2188.9556052332036
584,10,5,7,0.5998744775900249,-2.007260063940518,0.13698955995734796,knee_union,auto,aic,t,t,2496.0240416368506,2467.3474882311048
584,20,3,7,0.5999782131061344,-0.19955768754899617,0.05999660164516936,knee_union,auto,aic,t,t,2503.978043850426,2474.164215471685
584,42,6,7,0.5999910786103951,-0.3048318376806038,0.05733155516391617,knee_union,auto,aic,t,t,2277.8834795588923,2251.783801615673
