fold_id,retrain_interval,front_type,window,units,lr,epochs,rel_thresh,sharpe,mdd,turnover,penalty
553,10,GA,20,36,0.0005301061396986085,30,0.5992312166176955,14.106225402981616,0.005867183043379371,1.0,0.005867183043379371
553,10,GA,20,40,0.0007229275492729631,15,0.6,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA,20,36,0.0005301061396986085,27,0.5992312166176955,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA,19,33,0.0010053146982121884,20,0.5959742550818693,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA,20,36,0.0009987572898307376,28,0.5857659965672646,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA,20,36,0.0005301061396986085,27,0.5511774179328641,14.106225402981616,0.005867183043379371,1.0,0.005867183043379371
553,10,GA+BO,20,36,0.0005301061396986085,30,0.5992312166176955,14.106225402981616,0.005867183043379371,1.0,0.005867183043379371
553,10,GA+BO,20,40,0.0007229275492729631,15,0.6,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA+BO,20,36,0.0005301061396986085,27,0.5992312166176955,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA+BO,19,33,0.0010053146982121884,20,0.5959742550818693,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA+BO,20,36,0.0009987572898307376,28,0.5857659965672646,14.562859030411007,0.006567183043379499,2.0,0.005867183043379371
553,10,GA+BO,20,36,0.0005301061396986085,27,0.5511774179328641,14.106225402981616,0.005867183043379371,1.0,0.005867183043379371
553,20,GA,20,36,0.0005,30,0.5,13.222870033377093,0.0035610204731718036,4.0,0.0035610204731718036
553,20,GA,22,41,0.0005,20,0.5108547738476931,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,20,GA,19,39,0.001000109545224577,20,0.6030596654596854,13.310509598846869,0.00426102047317177,2.0,0.0035610204731718036
553,20,GA,19,36,0.00011421998131185538,19,0.5164306392412198,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,20,GA,20,36,0.0005,30,0.5174683616267639,13.310509598846869,0.00426102047317177,1.0,0.0035610204731718036
553,20,GA,19,36,0.00010196790514447795,18,0.5110403965739815,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,20,GA+BO,20,36,0.0005,30,0.5,13.222870033377093,0.0035610204731718036,4.0,0.0035610204731718036
553,20,GA+BO,22,41,0.0005,20,0.5108547738476931,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,20,GA+BO,19,39,0.001000109545224577,20,0.6030596654596854,13.310509598846869,0.00426102047317177,2.0,0.0035610204731718036
553,20,GA+BO,19,36,0.00011421998131185538,19,0.5164306392412198,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,20,GA+BO,20,36,0.0005,30,0.5174683616267639,13.310509598846869,0.00426102047317177,1.0,0.0035610204731718036
553,20,GA+BO,19,36,0.00010196790514447795,18,0.5110403965739815,13.222870033377093,0.0035610204731718036,1.0,0.0035610204731718036
553,42,GA,19,36,0.0028134572134452802,20,0.48088870584970533,12.75977907528551,0.0,1.0,0.0
553,42,GA,19,36,0.000771816489880271,14,0.48088870584970533,12.75977907528551,0.0,2.0,0.0
553,42,GA,20,48,0.0005020561218140989,30,0.49813475501186605,13.108441464312541,0.000699999999999938,3.0,0.0
553,42,GA+BO,19,36,0.0028134572134452802,20,0.48088870584970533,12.75977907528551,0.0,1.0,0.0
553,42,GA+BO,19,36,0.000771816489880271,14,0.48088870584970533,12.75977907528551,0.0,2.0,0.0
